symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
XLMUSDT,F_126,2025-01-01T16:00:00+00:00,2025-01-01T18:00:00+00:00,0.386001,0.425533,1000,102.4137,,tp,2
XLMUSDT,F_126,2025-01-01T19:00:00+00:00,2025-01-04T02:00:00+00:00,0.424051,0.478342,1000,128.031,,tp,55
XLMUSDT,F_126,2025-01-03T20:00:00+00:00,2025-01-05T09:00:00+00:00,0.45459,0.437549,1000,-37.4865,,stop,37
XLMUSDT,F_126,2025-01-06T02:00:00+00:00,2025-01-07T15:00:00+00:00,0.449183,0.436672,1000,-27.8534,,stop,37
XLMUSDT,F_126,2025-01-10T18:00:00+00:00,2025-01-11T21:00:00+00:00,0.416941,0.45435,1000,89.7214,,tp,27
XLMUSDT,F_126,2025-01-11T21:00:00+00:00,2025-01-12T00:00:00+00:00,0.45429,0.433911,1000,-44.8593,,stop,3
XLMUSDT,F_126,2025-01-13T01:00:00+00:00,2025-01-13T02:00:00+00:00,0.435365,0.423514,1000,-27.2215,,stop,1
XLMUSDT,F_126,2025-01-13T22:00:00+00:00,2025-01-15T02:00:00+00:00,0.425953,0.465718,1000,93.3559,,tp,28
XLMUSDT,F_126,2025-01-16T12:00:00+00:00,2025-01-18T03:00:00+00:00,0.489335,0.468583,1000,-42.4102,,stop,39
XLMUSDT,F_126,2025-01-19T00:00:00+00:00,2025-01-19T05:00:00+00:00,0.491438,0.47171,1000,-40.144,,stop,5
XLMUSDT,F_126,2025-01-21T18:00:00+00:00,2025-01-22T03:00:00+00:00,0.450385,0.434376,1000,-35.5436,,stop,9
XLMUSDT,F_126,2025-01-23T15:00:00+00:00,2025-01-25T14:00:00+00:00,0.428757,0.416857,1000,-27.7541,,stop,47
XLMUSDT,F_126,2025-01-24T13:00:00+00:00,2025-01-24T20:00:00+00:00,0.445278,0.4329,1000,-27.7979,,stop,7
XLMUSDT,F_126,2025-01-27T15:00:00+00:00,2025-01-30T16:00:00+00:00,0.40052,0.440004,1000,98.5828,,tp,73
XLMUSDT,F_126,2025-01-30T15:00:00+00:00,2025-01-30T15:00:00+00:00,0.412335,0.427664,1000,37.1761,,tp,0
XLMUSDT,F_126,2025-01-30T16:00:00+00:00,2025-01-31T01:00:00+00:00,0.435265,0.423656,1000,-26.6702,,stop,9
XLMUSDT,F_126,2025-02-03T16:00:00+00:00,2025-02-06T15:00:00+00:00,0.353159,0.318016,1000,-99.5092,,stop,71
XLMUSDT,F_126,2025-02-05T12:00:00+00:00,2025-02-05T15:00:00+00:00,0.347251,0.336427,1000,-31.1695,,stop,3
XLMUSDT,F_126,2025-02-06T07:00:00+00:00,2025-02-06T14:00:00+00:00,0.340442,0.328443,1000,-35.2452,,stop,7
XLMUSDT,F_126,2025-02-07T10:00:00+00:00,2025-02-09T13:00:00+00:00,0.329328,0.316758,1000,-38.1671,,stop,51
XLMUSDT,F_126,2025-02-08T18:00:00+00:00,2025-02-09T13:00:00+00:00,0.331731,0.322525,1000,-27.75,,stop,19
XLMUSDT,F_126,2025-02-10T14:00:00+00:00,2025-02-10T22:00:00+00:00,0.322118,0.310286,1000,-36.7333,,stop,8
XLMUSDT,F_126,2025-02-11T05:00:00+00:00,2025-02-11T19:00:00+00:00,0.325723,0.316454,1000,-28.4569,,stop,14
XLMUSDT,F_126,2025-02-13T19:00:00+00:00,2025-02-14T08:00:00+00:00,0.33143,0.35026,1000,56.8137,,tp,13
XLMUSDT,F_126,2025-02-14T09:00:00+00:00,2025-02-16T14:00:00+00:00,0.353159,0.341015,1000,-34.3865,,stop,53
XLMUSDT,F_126,2025-02-17T02:00:00+00:00,2025-02-17T05:00:00+00:00,0.347952,0.340737,1000,-20.7355,,stop,3
XLMUSDT,F_126,2025-02-19T03:00:00+00:00,2025-02-20T14:00:00+00:00,0.329728,0.345707,1000,48.4598,,tp,35
XLMUSDT,F_126,2025-02-20T00:00:00+00:00,2025-02-21T15:00:00+00:00,0.342344,0.332469,1000,-28.8471,,stop,39
XLMUSDT,F_126,2025-02-22T16:00:00+00:00,2025-02-23T12:00:00+00:00,0.333233,0.328419,1000,-14.444,,stop,20
XLMUSDT,F_126,2025-02-22T18:00:00+00:00,2025-02-22T22:00:00+00:00,0.33894,0.333663,1000,-15.5697,,stop,4
XLMUSDT,F_126,2025-02-25T20:00:00+00:00,2025-02-28T01:00:00+00:00,0.289776,0.27021,1000,-67.5211,,stop,53
XLMUSDT,F_126,2025-02-28T14:00:00+00:00,2025-03-01T04:00:00+00:00,0.270151,0.296365,1000,97.0355,,tp,14
XLMUSDT,F_126,2025-02-28T16:00:00+00:00,2025-03-01T09:00:00+00:00,0.280865,0.306437,1000,91.0493,,tp,17
XLMUSDT,F_126,2025-03-01T02:00:00+00:00,2025-03-01T21:00:00+00:00,0.290477,0.309902,1000,66.8733,,tp,19
XLMUSDT,F_126,2025-03-01T05:00:00+00:00,2025-03-02T02:00:00+00:00,0.30009,0.319017,1000,63.0731,,tp,21
XLMUSDT,F_126,2025-03-01T10:00:00+00:00,2025-03-01T13:00:00+00:00,0.307699,0.297526,1000,-33.0615,,stop,3
XLMUSDT,F_126,2025-03-01T22:00:00+00:00,2025-03-02T15:00:00+00:00,0.317112,0.341382,1000,76.5343,,tp,17
XLMUSDT,F_126,2025-03-02T16:00:00+00:00,2025-03-02T16:00:00+00:00,0.336337,0.364548,1000,83.8778,,tp,0
XLMUSDT,F_126,2025-03-04T20:00:00+00:00,2025-03-07T00:00:00+00:00,0.30009,0.28489,1000,-50.6496,,stop,52
XLMUSDT,F_126,2025-03-06T11:00:00+00:00,2025-03-06T14:00:00+00:00,0.309001,0.299897,1000,-29.4648,,stop,3
XLMUSDT,F_126,2025-03-11T19:00:00+00:00,2025-03-12T15:00:00+00:00,0.260238,0.247772,1000,-47.8999,,stop,20
XLMUSDT,F_126,2025-03-13T02:00:00+00:00,2025-03-13T11:00:00+00:00,0.264043,0.282275,1000,69.0515,,tp,9
XLMUSDT,F_126,2025-03-13T10:00:00+00:00,2025-03-13T13:00:00+00:00,0.276159,0.292007,1000,57.389,,tp,3
XLMUSDT,F_126,2025-03-14T09:00:00+00:00,2025-03-16T09:00:00+00:00,0.277861,0.26951,1000,-30.054,,stop,48
XLMUSDT,F_126,2025-03-18T23:00:00+00:00,2025-03-19T11:00:00+00:00,0.272654,0.286367,1000,50.2943,,tp,12
XLMUSDT,F_126,2025-03-19T14:00:00+00:00,2025-03-20T04:00:00+00:00,0.293882,0.283427,1000,-35.5744,,stop,14
XLMUSDT,F_126,2025-03-23T20:00:00+00:00,2025-03-24T01:00:00+00:00,0.283668,0.278905,1000,-16.7909,,stop,5
XLMUSDT,F_126,2025-03-24T07:00:00+00:00,2025-03-26T01:00:00+00:00,0.287974,0.298271,1000,35.7583,,tp,42
XLMUSDT,F_126,2025-03-26T02:00:00+00:00,2025-03-26T03:00:00+00:00,0.298988,0.291723,1000,-24.3001,,stop,1
XLMUSDT,F_126,2025-03-27T03:00:00+00:00,2025-03-27T12:00:00+00:00,0.29278,0.285152,1000,-26.0548,,stop,9
