symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
FILUSDT,F_127,2025-01-02T01:00:00+00:00,2025-01-03T14:00:00+00:00,5.22178,5.530295,1000,59.0825,,tp,37
FILUSDT,F_127,2025-01-03T15:00:00+00:00,2025-01-05T22:00:00+00:00,5.626305,5.947135,1000,57.0232,,tp,55
FILUSDT,F_127,2025-01-05T19:00:00+00:00,2025-01-06T01:00:00+00:00,5.71542,5.97393,1000,45.2302,,tp,6
FILUSDT,F_127,2025-01-05T23:00:00+00:00,2025-01-07T15:00:00+00:00,5.965745,5.776227,1000,-31.7678,,stop,40
FILUSDT,F_127,2025-01-06T03:00:00+00:00,2025-01-06T08:00:00+00:00,6.289165,6.022041,1000,-42.4738,,stop,5
FILUSDT,F_127,2025-01-10T18:00:00+00:00,2025-01-12T22:00:00+00:00,5.246812,5.045958,1000,-38.2812,,stop,52
FILUSDT,F_127,2025-01-14T10:00:00+00:00,2025-01-15T14:00:00+00:00,5.124653,5.382504,1000,50.3157,,tp,28
FILUSDT,F_127,2025-01-15T15:00:00+00:00,2025-01-16T17:00:00+00:00,5.458086,5.758876,1000,55.109,,tp,26
FILUSDT,F_127,2025-01-26T17:00:00+00:00,2025-01-26T22:00:00+00:00,5.081598,4.995809,1000,-16.8822,,stop,5
FILUSDT,F_127,2025-01-30T14:00:00+00:00,2025-01-31T15:00:00+00:00,4.735148,4.936151,1000,42.4492,,tp,25
FILUSDT,F_127,2025-02-07T14:00:00+00:00,2025-02-07T17:00:00+00:00,3.331325,3.22156,1000,-32.9493,,stop,3
FILUSDT,F_127,2025-02-09T04:00:00+00:00,2025-02-09T13:00:00+00:00,3.379388,3.292245,1000,-25.7865,,stop,9
FILUSDT,F_127,2025-02-14T18:00:00+00:00,2025-02-14T21:00:00+00:00,3.597671,3.497404,1000,-27.8699,,stop,3
FILUSDT,F_127,2025-02-20T01:00:00+00:00,2025-02-21T05:00:00+00:00,3.377385,3.533072,1000,46.0968,,tp,28
FILUSDT,F_127,2025-02-22T18:00:00+00:00,2025-02-23T15:00:00+00:00,3.434459,3.375208,1000,-17.2518,,stop,21
FILUSDT,F_127,2025-03-02T16:00:00+00:00,2025-03-02T16:00:00+00:00,3.306293,3.454368,1000,44.7858,,tp,0
FILUSDT,F_127,2025-03-02T17:00:00+00:00,2025-03-03T06:00:00+00:00,3.513562,3.402133,1000,-31.7138,,stop,13
FILUSDT,F_127,2025-03-11T19:00:00+00:00,2025-03-17T20:00:00+00:00,2.790623,3.04095,1000,89.703,,tp,145
FILUSDT,F_127,2025-03-17T19:00:00+00:00,2025-03-18T02:00:00+00:00,3.025929,2.953513,1000,-23.9318,,stop,7
FILUSDT,F_127,2025-03-19T12:00:00+00:00,2025-03-21T10:00:00+00:00,3.001897,2.936504,1000,-21.7842,,stop,46
FILUSDT,F_127,2025-03-24T05:00:00+00:00,2025-03-26T19:00:00+00:00,3.110038,3.040794,1000,-22.2646,,stop,62
FILUSDT,F_127,2025-04-01T07:00:00+00:00,2025-04-01T11:00:00+00:00,2.931806,2.864221,1000,-23.0525,,stop,4
FILUSDT,F_127,2025-04-02T16:00:00+00:00,2025-04-02T20:00:00+00:00,2.871728,2.791951,1000,-27.7802,,stop,4
FILUSDT,F_127,2025-04-09T18:00:00+00:00,2025-04-10T03:00:00+00:00,2.506254,2.409546,1000,-38.5866,,stop,9
FILUSDT,F_127,2025-04-12T14:00:00+00:00,2025-04-13T13:00:00+00:00,2.512262,2.463626,1000,-19.3592,,stop,23
FILUSDT,F_127,2025-04-14T15:00:00+00:00,2025-04-15T00:00:00+00:00,2.59537,2.509104,1000,-33.2385,,stop,9
FILUSDT,F_127,2025-04-18T10:00:00+00:00,2025-04-19T18:00:00+00:00,2.45719,2.541311,1000,34.2345,,tp,32
FILUSDT,F_127,2025-04-19T18:00:00+00:00,2025-04-19T21:00:00+00:00,2.538296,2.609756,1000,28.1528,,tp,3
FILUSDT,F_127,2025-04-19T20:00:00+00:00,2025-04-20T16:00:00+00:00,2.601377,2.682172,1000,31.0583,,tp,20
FILUSDT,F_127,2025-04-20T17:00:00+00:00,2025-04-21T17:00:00+00:00,2.677476,2.62135,1000,-20.9625,,stop,24
FILUSDT,F_127,2025-04-22T22:00:00+00:00,2025-04-25T00:00:00+00:00,2.705513,2.864356,1000,58.7108,,tp,50
FILUSDT,F_127,2025-04-29T01:00:00+00:00,2025-04-29T21:00:00+00:00,2.817658,2.745656,1000,-25.554,,stop,20
FILUSDT,F_127,2025-05-01T11:00:00+00:00,2025-05-02T19:00:00+00:00,2.819661,2.76977,1000,-17.694,,stop,32
FILUSDT,F_127,2025-05-02T09:00:00+00:00,2025-05-02T10:00:00+00:00,2.893757,2.828361,1000,-22.599,,stop,1
FILUSDT,F_127,2025-05-05T03:00:00+00:00,2025-05-05T10:00:00+00:00,2.67247,2.60993,1000,-23.4016,,stop,7
FILUSDT,F_127,2025-05-08T16:00:00+00:00,2025-05-08T21:00:00+00:00,2.817658,2.943541,1000,44.6764,,tp,5
FILUSDT,F_127,2025-05-09T08:00:00+00:00,2025-05-10T21:00:00+00:00,3.012912,3.160512,1000,48.9892,,tp,37
FILUSDT,F_127,2025-05-18T15:00:00+00:00,2025-05-18T17:00:00+00:00,2.943822,2.874652,1000,-23.4968,,stop,2
FILUSDT,F_127,2025-05-21T17:00:00+00:00,2025-05-21T17:00:00+00:00,2.966852,2.888663,1000,-26.3541,,stop,0
FILUSDT,F_127,2025-05-23T03:00:00+00:00,2025-05-23T06:00:00+00:00,3.136072,3.062371,1000,-23.5009,,stop,3
FILUSDT,F_127,2025-05-27T07:00:00+00:00,2025-05-28T18:00:00+00:00,2.85771,2.791505,1000,-23.1672,,stop,35
FILUSDT,F_127,2025-05-29T03:00:00+00:00,2025-05-29T04:00:00+00:00,2.951832,2.867956,1000,-28.4149,,stop,1
FILUSDT,F_127,2025-05-31T21:00:00+00:00,2025-06-01T01:00:00+00:00,2.616397,2.565058,1000,-19.622,,stop,4
FILUSDT,F_127,2025-06-02T21:00:00+00:00,2025-06-03T08:00:00+00:00,2.586358,2.531063,1000,-21.3794,,stop,11
FILUSDT,F_127,2025-06-09T22:00:00+00:00,2025-06-10T11:00:00+00:00,2.577346,2.677575,1000,38.8884,,tp,13
FILUSDT,F_127,2025-06-10T12:00:00+00:00,2025-06-12T04:00:00+00:00,2.696501,2.633073,1000,-23.5221,,stop,40
FILUSDT,F_127,2025-06-20T08:00:00+00:00,2025-06-20T14:00:00+00:00,2.379089,2.339615,1000,-16.5921,,stop,6
FILUSDT,F_127,2025-06-23T23:00:00+00:00,2025-06-26T16:00:00+00:00,2.260935,2.175247,1000,-37.8996,,stop,65
FILUSDT,F_127,2025-06-28T16:00:00+00:00,2025-06-29T21:00:00+00:00,2.241911,2.299204,1000,25.5554,,tp,29
FILUSDT,F_127,2025-06-29T22:00:00+00:00,2025-06-29T22:00:00+00:00,2.308998,2.366489,1000,24.8987,,tp,0
FILUSDT,F_127,2025-06-29T23:00:00+00:00,2025-06-30T00:00:00+00:00,2.41113,2.36391,1000,-19.5842,,stop,1
FILUSDT,F_127,2025-07-02T15:00:00+00:00,2025-07-02T16:00:00+00:00,2.277958,2.350897,1000,32.0198,,tp,1
FILUSDT,F_127,2025-07-02T17:00:00+00:00,2025-07-02T23:00:00+00:00,2.423146,2.366351,1000,-23.4384,,stop,6
FILUSDT,F_127,2025-07-06T14:00:00+00:00,2025-07-06T18:00:00+00:00,2.29498,2.262748,1000,-14.0442,,stop,4
FILUSDT,F_127,2025-07-06T22:00:00+00:00,2025-07-07T01:00:00+00:00,2.316007,2.272905,1000,-18.6103,,stop,3
FILUSDT,F_127,2025-07-08T18:00:00+00:00,2025-07-09T19:00:00+00:00,2.319011,2.39846,1000,34.26,,tp,25
FILUSDT,F_127,2025-07-09T20:00:00+00:00,2025-07-10T21:00:00+00:00,2.446176,2.539156,1000,38.0106,,tp,25
FILUSDT,F_127,2025-07-10T18:00:00+00:00,2025-07-11T03:00:00+00:00,2.51827,2.608588,1000,35.8654,,tp,9
FILUSDT,F_127,2025-07-15T18:00:00+00:00,2025-07-18T00:00:00+00:00,2.610389,2.750808,1000,53.7925,,tp,54
FILUSDT,F_127,2025-07-20T16:00:00+00:00,2025-07-20T22:00:00+00:00,2.923796,2.850514,1000,-25.064,,stop,6
FILUSDT,F_127,2025-07-26T19:00:00+00:00,2025-07-27T22:00:00+00:00,2.677476,2.744761,1000,25.1298,,tp,27
FILUSDT,F_127,2025-08-04T01:00:00+00:00,2025-08-05T07:00:00+00:00,2.377086,2.343036,1000,-14.3242,,stop,30
FILUSDT,F_127,2025-08-04T17:00:00+00:00,2025-08-05T03:00:00+00:00,2.419141,2.381327,1000,-15.6312,,stop,10
FILUSDT,F_127,2025-08-06T15:00:00+00:00,2025-08-07T21:00:00+00:00,2.37208,2.468581,1000,40.682,,tp,30
