symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
BTCUSDT,F_192,2025-01-02T05:00:00+00:00,2025-01-03T16:00:00+00:00,95832.490491,97937.460349,1000,21.9651,,tp,35
BTCUSDT,F_192,2025-01-02T15:00:00+00:00,2025-01-02T15:00:00+00:00,97382.913424,96099.298859,1000,-13.1811,,stop,0
BTCUSDT,F_192,2025-01-03T19:00:00+00:00,2025-01-04T09:00:00+00:00,98656.056361,97499.218104,1000,-11.726,,stop,14
BTCUSDT,F_192,2025-01-06T05:00:00+00:00,2025-01-06T15:00:00+00:00,99595.395917,101452.324789,1000,18.6447,,tp,10
BTCUSDT,F_192,2025-01-10T11:00:00+00:00,2025-01-10T13:00:00+00:00,95339.510449,94013.276957,1000,-13.9106,,stop,2
BTCUSDT,F_192,2025-01-10T18:00:00+00:00,2025-01-11T04:00:00+00:00,95917.570952,93753.093282,1000,-22.566,,stop,10
BTCUSDT,F_192,2025-01-11T22:00:00+00:00,2025-01-12T00:00:00+00:00,95064.172975,94305.91998,1000,-7.9762,,stop,2
BTCUSDT,F_192,2025-01-14T09:00:00+00:00,2025-01-15T13:00:00+00:00,95612.645063,98147.898138,1000,26.5159,,tp,28
BTCUSDT,F_192,2025-01-15T20:00:00+00:00,2025-01-16T14:00:00+00:00,99974.708383,98411.078878,1000,-15.6403,,stop,18
BTCUSDT,F_192,2025-01-17T11:00:00+00:00,2025-01-17T17:00:00+00:00,102454.558002,105091.832212,1000,25.7409,,tp,6
BTCUSDT,F_192,2025-01-19T07:00:00+00:00,2025-01-19T08:00:00+00:00,105705.528777,104305.15985,1000,-13.2478,,stop,1
BTCUSDT,F_192,2025-01-21T19:00:00+00:00,2025-01-22T13:00:00+00:00,107000.099534,104390.455293,1000,-24.3892,,stop,18
BTCUSDT,F_192,2025-01-23T15:00:00+00:00,2025-01-23T15:00:00+00:00,105350.37768,103098.759115,1000,-21.3727,,stop,0
BTCUSDT,F_192,2025-01-24T18:00:00+00:00,2025-01-24T20:00:00+00:00,106596.866011,104962.816731,1000,-15.3292,,stop,2
BTCUSDT,F_192,2025-01-30T04:00:00+00:00,2025-01-31T18:00:00+00:00,105332.7548,103281.526899,1000,-19.4738,,stop,38
BTCUSDT,F_192,2025-02-03T16:00:00+00:00,2025-02-06T19:00:00+00:00,98970.4946,95721.320618,1000,-32.8297,,stop,75
BTCUSDT,F_192,2025-02-10T14:00:00+00:00,2025-02-10T15:00:00+00:00,98343.390423,96834.380437,1000,-15.3443,,stop,1
BTCUSDT,F_192,2025-02-11T06:00:00+00:00,2025-02-11T12:00:00+00:00,98540.175912,97569.038199,1000,-9.8552,,stop,6
BTCUSDT,F_192,2025-02-12T17:00:00+00:00,2025-02-13T14:00:00+00:00,97112.221982,95422.953525,1000,-17.395,,stop,21
BTCUSDT,F_192,2025-02-14T04:00:00+00:00,2025-02-17T00:00:00+00:00,97256.248974,95903.564909,1000,-13.9085,,stop,68
BTCUSDT,F_192,2025-02-14T17:00:00+00:00,2025-02-14T21:00:00+00:00,97785.65631,96601.739151,1000,-12.1073,,stop,4
BTCUSDT,F_192,2025-02-20T03:00:00+00:00,2025-02-21T13:00:00+00:00,97260.794876,99262.183209,1000,20.5775,,tp,34
