symbol,NOVA_EXT_MAX,net,trades,win_pct,pf
BTCUSDT,-0.15,0.0,0,0.0,0.0
BTCUSDT,0.1,-54.363042268200886,33,39.39,0.8430484369078588
BTCUSDT,0.5,-266.9144545165,120,35.0,0.7922638179341769
BTCUSDT,1.0,-323.933601735968,203,34.98,0.8459427096089824
ETHUSDT,-0.15,0.0,0,0.0,0.0
ETHUSDT,0.1,-104.95577889273639,36,30.56,0.778842672431128
ETHUSDT,0.5,-1000.7575313436575,146,25.34,0.5513143162192568
ETHUSDT,1.0,-1317.8759940731807,221,27.15,0.5933673556985887
SOLUSDT,-0.15,0.0,0,0.0,0.0
SOLUSDT,0.1,182.67994515855145,30,40.0,1.3547379886672635
SOLUSDT,0.5,132.03917600048135,149,38.26,1.0464546294206345
SOLUSDT,1.0,15.290378038007496,237,37.13,1.0033148633102327
XLMUSDT,-0.15,0.0,0,0.0,0.0
XLMUSDT,0.1,93.50519516118013,30,33.33,1.2377276735560554
XLMUSDT,0.5,100.22420790709629,142,29.58,1.0528083173004434
XLMUSDT,1.0,-237.42859667658553,217,29.49,0.9245000463446913
LINKUSDT,-0.15,0.0,0,0.0,0.0
LINKUSDT,0.1,229.55944294699046,38,36.84,1.3878437360771032
LINKUSDT,0.5,316.53135303521617,156,35.26,1.1229837101746296
LINKUSDT,1.0,494.88413982591265,242,35.12,1.1211758437127235
GRAMUSDT,-0.15,0.0,0,0.0,0.0
GRAMUSDT,0.1,98.85132472743729,8,37.5,1.9013022489860403
GRAMUSDT,0.5,172.3407532469221,46,36.96,1.2666023256366814
GRAMUSDT,1.0,-164.2745796647626,71,29.58,0.855072840514695
RENDERUSDT,-0.15,0.0,0,0.0,0.0
RENDERUSDT,0.1,-69.02887992221937,9,22.22,0.713318003148205
RENDERUSDT,0.5,111.31706558573636,45,35.56,1.1030303349546091
RENDERUSDT,1.0,-49.075503945512196,72,31.94,0.9723341445505056
FILUSDT,-0.15,0.0,0,0.0,0.0
FILUSDT,0.1,-178.28544530574288,40,35.0,0.7725245307417193
FILUSDT,0.5,427.4270431416076,145,40.0,1.1743961823501685
FILUSDT,1.0,-88.91099291359315,228,35.09,0.9787341887034585
