symbol,exp,entry_time,exit_time,entry,exit,notional,pnl,r_mult,exit_side,bars_held
RENDERUSDT,F_205,2025-01-01T22:00:00+00:00,2025-01-02T09:00:00+00:00,7.2404,7.608496,1000,50.8392,,tp,11
RENDERUSDT,F_205,2025-01-02T01:00:00+00:00,2025-01-02T09:00:00+00:00,7.296473,7.686182,1000,53.4106,,tp,8
RENDERUSDT,F_205,2025-01-02T05:00:00+00:00,2025-01-02T10:00:00+00:00,7.43265,7.84501,1000,55.4795,,tp,5
RENDERUSDT,F_205,2025-01-02T09:00:00+00:00,2025-01-03T15:00:00+00:00,7.612884,8.007318,1000,51.8114,,tp,30
RENDERUSDT,F_205,2025-01-02T10:00:00+00:00,2025-01-03T07:00:00+00:00,7.735043,7.509838,1000,-29.1148,,stop,21
RENDERUSDT,F_205,2025-01-02T11:00:00+00:00,2025-01-02T13:00:00+00:00,7.861206,7.620287,1000,-30.6466,,stop,2
RENDERUSDT,F_205,2025-01-03T12:00:00+00:00,2025-01-05T22:00:00+00:00,7.882234,8.32397,1000,56.042,,tp,58
RENDERUSDT,F_205,2025-01-03T15:00:00+00:00,2025-01-05T22:00:00+00:00,7.911271,8.363813,1000,57.2021,,tp,55
RENDERUSDT,F_205,2025-01-03T16:00:00+00:00,2025-01-06T08:00:00+00:00,8.076486,8.555635,1000,59.3264,,tp,64
RENDERUSDT,F_205,2025-01-05T22:00:00+00:00,2025-01-06T01:00:00+00:00,8.311791,8.087835,1000,-26.9444,,stop,3
RENDERUSDT,F_205,2025-01-05T23:00:00+00:00,2025-01-06T00:00:00+00:00,8.424938,8.197411,1000,-27.0064,,stop,1
RENDERUSDT,F_205,2025-01-06T10:00:00+00:00,2025-01-07T15:00:00+00:00,8.662246,8.346382,1000,-36.4645,,stop,29
RENDERUSDT,F_205,2025-01-06T12:00:00+00:00,2025-01-07T15:00:00+00:00,8.732337,8.407679,1000,-37.1789,,stop,27
RENDERUSDT,F_205,2025-01-06T16:00:00+00:00,2025-01-07T05:00:00+00:00,8.958631,8.626973,1000,-37.0211,,stop,13
RENDERUSDT,F_205,2025-01-11T21:00:00+00:00,2025-01-12T07:00:00+00:00,7.403612,7.212652,1000,-25.7928,,stop,10
RENDERUSDT,F_205,2025-01-11T22:00:00+00:00,2025-01-12T00:00:00+00:00,7.516759,7.314809,1000,-26.8667,,stop,2
RENDERUSDT,F_205,2025-01-14T10:00:00+00:00,2025-01-14T16:00:00+00:00,7.253417,6.996881,1000,-35.3677,,stop,6
RENDERUSDT,F_205,2025-01-15T14:00:00+00:00,2025-01-17T08:00:00+00:00,7.291467,7.776202,1000,66.4798,,tp,42
RENDERUSDT,F_205,2025-01-15T20:00:00+00:00,2025-01-18T00:00:00+00:00,7.531779,8.108938,1000,76.6298,,tp,52
RENDERUSDT,F_205,2025-01-17T02:00:00+00:00,2025-01-18T08:00:00+00:00,7.66395,7.369215,1000,-38.4574,,stop,30
RENDERUSDT,F_205,2025-01-17T08:00:00+00:00,2025-01-18T00:00:00+00:00,7.761076,8.181569,1000,54.1797,,tp,16
RENDERUSDT,F_205,2025-01-21T17:00:00+00:00,2025-01-27T00:00:00+00:00,6.91698,6.6576,1000,-37.4991,,stop,127
RENDERUSDT,F_205,2025-01-21T18:00:00+00:00,2025-01-23T00:00:00+00:00,7.283456,6.982367,1000,-41.3387,,stop,30
RENDERUSDT,F_205,2025-01-24T06:00:00+00:00,2025-01-24T23:00:00+00:00,7.216369,6.863007,1000,-48.9667,,stop,17
RENDERUSDT,F_205,2025-01-26T04:00:00+00:00,2025-01-26T16:00:00+00:00,7.056161,6.904887,1000,-21.4385,,stop,12
RENDERUSDT,F_205,2025-01-26T08:00:00+00:00,2025-01-26T09:00:00+00:00,7.143274,6.98989,1000,-21.4726,,stop,1
RENDERUSDT,F_205,2025-01-30T15:00:00+00:00,2025-02-01T09:00:00+00:00,5.935706,5.73467,1000,-33.869,,stop,42
RENDERUSDT,F_205,2025-01-30T17:00:00+00:00,2025-01-31T03:00:00+00:00,5.982768,5.782669,1000,-33.4458,,stop,10
RENDERUSDT,F_205,2025-01-31T12:00:00+00:00,2025-01-31T18:00:00+00:00,6.106929,5.90781,1000,-32.6054,,stop,6
RENDERUSDT,F_205,2025-02-03T19:00:00+00:00,2025-02-04T21:00:00+00:00,4.848295,4.461344,1000,-79.8116,,stop,26
RENDERUSDT,F_205,2025-02-03T20:00:00+00:00,2025-02-04T05:00:00+00:00,5.01451,4.638187,1000,-75.0468,,stop,9
RENDERUSDT,F_205,2025-02-03T22:00:00+00:00,2025-02-04T05:00:00+00:00,5.100622,4.723046,1000,-74.0256,,stop,7
RENDERUSDT,F_205,2025-02-07T14:00:00+00:00,2025-02-07T17:00:00+00:00,4.460792,4.280648,1000,-40.3838,,stop,3
RENDERUSDT,F_205,2025-02-07T15:00:00+00:00,2025-02-07T16:00:00+00:00,4.540896,4.356368,1000,-40.6369,,stop,1
RENDERUSDT,F_205,2025-02-09T02:00:00+00:00,2025-02-09T19:00:00+00:00,4.309595,4.173876,1000,-31.4922,,stop,17
RENDERUSDT,F_205,2025-02-09T04:00:00+00:00,2025-02-09T13:00:00+00:00,4.398711,4.259024,1000,-31.7563,,stop,9
RENDERUSDT,F_205,2025-02-09T09:00:00+00:00,2025-02-09T13:00:00+00:00,4.421741,4.291298,1000,-29.5004,,stop,4
