symbol,NOVA_BODY_RATIO,NOVA_RANGE_ATR,NOVA_LOOKBACK,net,trades,win_pct,pf
BTCUSDT,0.4,0.6,10,509.4692841817798,115,43.48,1.2511435327510259
BTCUSDT,0.4,0.6,20,400.0473921562187,82,43.9,1.2841183571070036
BTCUSDT,0.4,0.6,50,267.98522443442306,57,42.11,1.2684468168739234
BTCUSDT,0.4,0.8,10,618.4606849325476,111,45.05,1.33032501141248
BTCUSDT,0.4,0.8,20,444.5343339442704,80,45.0,1.3349310096862164
BTCUSDT,0.4,0.8,50,312.47216622247487,55,43.64,1.3405723772062512
BTCUSDT,0.4,1.0,10,564.2013046873337,108,44.44,1.3078561323445055
BTCUSDT,0.4,1.0,20,492.07409981903874,79,45.57,1.3824266816909425
BTCUSDT,0.4,1.0,50,312.8490218888373,53,43.4,1.3567407641475995
BTCUSDT,0.5,0.6,10,463.2307136934106,105,43.81,1.2487397187829659
BTCUSDT,0.5,0.6,20,377.916613608638,74,44.59,1.2969426843051461
BTCUSDT,0.5,0.6,50,390.543458974156,50,46.0,1.4712083722447855
BTCUSDT,0.5,0.8,10,573.0701889966291,102,45.1,1.3290771115730156
BTCUSDT,0.5,0.8,20,416.24703342457934,73,45.21,1.3372164206560644
BTCUSDT,0.5,0.8,50,428.87387879009725,49,46.94,1.5425471481233914
BTCUSDT,0.5,1.0,10,561.8890450213461,98,44.9,1.3363061724729104
BTCUSDT,0.5,1.0,20,487.97845348493547,71,46.48,1.4172027506740037
BTCUSDT,0.5,1.0,50,429.2507344564598,47,46.81,1.5723681902640232
BTCUSDT,0.6,0.6,10,176.38079441854387,87,41.38,1.109038933892604
BTCUSDT,0.6,0.6,20,317.61773041396833,64,45.31,1.2932837754732653
BTCUSDT,0.6,0.6,50,175.66248514596847,42,42.86,1.2352761799193182
BTCUSDT,0.6,0.8,10,222.17929398796167,86,41.86,1.141353760228476
BTCUSDT,0.6,0.8,20,334.1509154414601,63,46.03,1.3133338018544254
BTCUSDT,0.6,0.8,50,175.66248514596847,42,42.86,1.2352761799193182
BTCUSDT,0.6,1.0,10,195.02302086083148,84,41.67,1.1253539428331496
BTCUSDT,0.6,1.0,20,340.64809865482323,63,46.03,1.319271750350518
BTCUSDT,0.6,1.0,50,171.7992809480853,40,42.5,1.2418563892722576
