symbol,NOVA_BODY_RATIO,NOVA_RANGE_ATR,NOVA_LOOKBACK,net,trades,win_pct,pf
FILUSDT,0.4,0.6,10,205.28754248932438,111,36.94,1.051147345706775
FILUSDT,0.4,0.6,20,460.2264474937021,82,37.8,1.1627964672181332
FILUSDT,0.4,0.6,50,325.8105481251823,48,39.58,1.1851903200708684
FILUSDT,0.4,0.8,10,4.147173426118883,103,36.89,1.0010802953464824
FILUSDT,0.4,0.8,20,338.72394830743053,79,37.97,1.1208423359488455
FILUSDT,0.4,0.8,50,17.888826559233607,47,36.17,1.0097009833785835
FILUSDT,0.4,1.0,10,72.88849525927436,93,35.48,1.0215843899122785
FILUSDT,0.4,1.0,20,486.1213981638379,74,37.84,1.1907719421476477
FILUSDT,0.4,1.0,50,18.177960560561786,43,37.21,1.0106013224823474
FILUSDT,0.5,0.6,10,-41.86614248137309,97,34.02,0.9883062391390944
FILUSDT,0.5,0.6,20,-226.03206453181562,68,32.35,0.9116044349299903
FILUSDT,0.5,0.6,50,366.7048762184845,41,39.02,1.2551984996902885
FILUSDT,0.5,0.8,10,-443.7211267814145,87,33.33,0.8693808593256529
FILUSDT,0.5,0.8,20,-228.4732818041724,63,33.33,0.9052570973179878
FILUSDT,0.5,0.8,50,301.89239303951524,38,39.47,1.2230017203388823
FILUSDT,0.5,1.0,10,191.25009815140635,75,36.0,1.0709417430672865
FILUSDT,0.5,1.0,20,-80.03385410395563,60,33.33,0.9639082707400507
FILUSDT,0.5,1.0,50,163.22420428350546,36,38.89,1.1197193387872193
FILUSDT,0.6,0.6,10,-24.739428179756516,82,35.37,0.991819920481264
FILUSDT,0.6,0.6,20,-270.3263702856222,62,32.26,0.8835445995421308
FILUSDT,0.6,0.6,50,131.3150873736811,38,36.84,1.095220423326404
FILUSDT,0.6,0.8,10,-155.22218426356523,76,35.53,0.9453158128240066
FILUSDT,0.6,0.8,20,-170.51377526872506,59,33.9,0.9231533771332556
FILUSDT,0.6,0.8,50,168.7564164839656,37,37.84,1.1260285410275765
FILUSDT,0.6,1.0,10,57.76864055714948,65,36.92,1.0240460222376924
FILUSDT,0.6,1.0,20,-386.5456321103647,57,31.58,0.8282919755080885
FILUSDT,0.6,1.0,50,30.088227727955797,35,37.14,1.0223097754489683
