symbol,NOVA_EXIT,NOVA_TRIG,NOVA_LOCK,net,trades,win_pct,pf
LINKUSDT,std,0.0025,0.0015,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,std,0.0025,0.0045,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,std,0.004,0.0015,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,std,0.004,0.0045,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,std,0.005,0.0015,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,std,0.005,0.0045,1065.7998327224,75,42.67,1.4989276744244164
LINKUSDT,dual,0.0025,0.0015,1431.917638085546,96,94.79,6.738749260485572
LINKUSDT,dual,0.0025,0.0045,1469.502769947974,96,94.79,6.889380583086736
LINKUSDT,dual,0.004,0.0015,1388.4629532726378,96,92.71,5.388427094690675
LINKUSDT,dual,0.004,0.0045,1413.6005660791352,96,92.71,5.467877958594435
LINKUSDT,dual,0.005,0.0015,1411.224328220252,93,92.47,5.3116531540919
LINKUSDT,dual,0.005,0.0045,1419.3099633468642,93,92.47,5.336356848252601
