symbol,NOVA_BODY_RATIO,NOVA_RANGE_ATR,NOVA_LOOKBACK,net,trades,win_pct,pf
RENDERUSDT,0.4,0.6,10,-5564.976498325584,2031,27.38,0.6615242887143572
RENDERUSDT,0.4,0.6,20,-3878.648318406526,1403,26.87,0.6570875586764586
RENDERUSDT,0.4,0.6,50,-3197.8408951055626,846,24.82,0.5614345045762421
RENDERUSDT,0.4,0.8,10,-4935.144573731732,1841,27.65,0.6651137909969035
RENDERUSDT,0.4,0.8,20,-3779.3970783075165,1295,26.64,0.6381718974557963
RENDERUSDT,0.4,0.8,50,-2921.589214375912,788,24.87,0.5665081046020346
RENDERUSDT,0.4,1.0,10,-3664.204272651566,1547,28.25,0.6959692621880965
RENDERUSDT,0.4,1.0,20,-3310.657432503363,1119,26.36,0.6318805046704444
RENDERUSDT,0.4,1.0,50,-2485.223215693157,689,24.53,0.5740853693794687
RENDERUSDT,0.5,0.6,10,-5203.823045368365,1866,27.22,0.656356548414919
RENDERUSDT,0.5,0.6,20,-3646.839875602628,1286,26.91,0.6475457012377167
RENDERUSDT,0.5,0.6,50,-2752.3195577730157,774,25.45,0.5825108675188838
RENDERUSDT,0.5,0.8,10,-4781.40523535695,1704,27.35,0.6515199815268972
RENDERUSDT,0.5,0.8,20,-3488.063773664585,1197,26.65,0.6382886066477285
RENDERUSDT,0.5,0.8,50,-2536.161913139854,722,25.48,0.5863629137162385
RENDERUSDT,0.5,1.0,10,-3695.0487304807466,1449,27.74,0.6767559897658102
RENDERUSDT,0.5,1.0,20,-3113.308941467728,1034,26.31,0.6270574337437854
RENDERUSDT,0.5,1.0,50,-2121.7915792704057,629,25.28,0.5997040179101049
RENDERUSDT,0.6,0.6,10,-4243.153269836132,1616,27.85,0.6746207944929264
RENDERUSDT,0.6,0.6,20,-2913.6361913520045,1114,27.65,0.6714770585803245
RENDERUSDT,0.6,0.6,50,-2289.7789363566812,673,25.85,0.5947996300035112
RENDERUSDT,0.6,0.8,10,-4033.4307464966405,1482,28.07,0.6608726169209247
RENDERUSDT,0.6,0.8,20,-2761.7476637184964,1043,27.52,0.6658950123965877
RENDERUSDT,0.6,0.8,50,-2199.98508017947,633,25.59,0.5855938760601481
RENDERUSDT,0.6,1.0,10,-3156.3630181539697,1273,28.36,0.68485854113456
RENDERUSDT,0.6,1.0,20,-2601.350104511982,913,26.94,0.6440841781071504
RENDERUSDT,0.6,1.0,50,-1888.304653427998,556,25.36,0.5949982034963508
