category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
اتجاهي,dir,directional,LINKUSDT,صاعد,MicroBurst,1,9301,9303,2024-09-07T11:01:00+00:00,2024-09-07T11:03:00+00:00,2,-0.002596923220735966,-0.05193846441471932,20.0,قفل-ربح,0,False,True,,False,9.972991,9.97,0.0003,9.97,1,baseline,0,"{""close"": 9.97, ""rsi"": 61.374397572254786, ""rsi7"": 71.1686998572311, ""macd"": -0.0006354660050169906, ""adx"": 27.035205827171705, ""stoch_k"": 55.555555555554385, ""stoch_d"": 29.6296296296287, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9131284227630829, ""hurst"": 0.2599702092768692, ""atr14"": 0.010876226818250236, ""vol_sma20"": 482.325, ""vol_ratio"": 2.8108018452288395, ""atr_pct"": 0.00109089536792881, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,FVG,1,9323,9339,2024-09-07T11:23:00+00:00,2024-09-07T11:39:00+00:00,16,-1.2099379441300851e-05,-0.000241987588826017,20.0,تتبع,0,False,True,,False,9.982994,9.98,0.0003,10.005863708,1,baseline,0,"{""close"": 9.98, ""rsi"": 54.169637879800646, ""rsi7"": 55.69615755343286, ""macd"": -0.0018406528298094528, ""adx"": 31.722741933632033, ""stoch_k"": 33.33333333333348, ""stoch_d"": 14.814814814814932, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9404159956423248, ""hurst"": 0.21061870110521907, ""atr14"": 0.01116412827187455, ""vol_sma20"": 609.818, ""vol_ratio"": 0.01498807841027979, ""atr_pct"": 0.0011186501274423396, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,Bollinger,1,18380,18395,2024-09-13T18:20:00+00:00,2024-09-13T18:35:00+00:00,15,4.170925751587476e-05,0.0008341851503174951,20.0,تتبع,0,True,True,,False,11.343402,11.34,0.0003,11.37,1,baseline,0,"{""close"": 11.35, ""rsi"": 63.687054616225794, ""rsi7"": 74.78447619192193, ""macd"": 0.002212910155707927, ""adx"": 17.907878529338973, ""stoch_k"": 82.22222222222274, ""stoch_d"": 79.04761904761983, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9015352003247816, ""hurst"": 0.25322165146084363, ""atr14"": 0.017527924280369915, ""vol_sma20"": 979.5384999999993, ""vol_ratio"": 0.5157632905699984, ""atr_pct"": 0.001544310509283693, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,FVG,1,18417,18427,2024-09-13T18:57:00+00:00,2024-09-13T19:07:00+00:00,10,-0.005290809190809106,-0.10581618381618212,20.0,وقف,0,False,True,,False,11.363408,11.36,0.0003,11.329317776,1,baseline,0,"{""close"": 11.36, ""rsi"": 54.66029922817905, ""rsi7"": 61.91938829526731, ""macd"": -0.0012990645556358947, ""adx"": 21.759155682485375, ""stoch_k"": 54.444444444443896, ""stoch_d"": 42.22222222222149, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9083442310388451, ""hurst"": 0.31880152831704583, ""atr14"": 0.016280299131863282, ""vol_sma20"": 1282.3494999999994, ""vol_ratio"": 0.44119797293951474, ""atr_pct"": 0.0014331249235795143, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,MACD,1,18432,18439,2024-09-13T19:12:00+00:00,2024-09-13T19:19:00+00:00,7,-0.0016845042715939776,-0.033690085431879555,20.0,قفل-ربح,0,False,True,,False,11.353404999999999,11.35,0.0003,11.360382918715471,1,baseline,0,"{""close"": 11.35, ""rsi"": 51.30915018312385, ""rsi7"": 55.897559375707054, ""macd"": 0.00012778772671696382, ""adx"": 20.546050965360685, ""stoch_k"": 75.0, ""stoch_d"": 58.3333333333336, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8810311503847954, ""hurst"": 0.2506231930600273, ""atr14"": 0.015501835483738931, ""vol_sma20"": 901.5319999999992, ""vol_ratio"": 0.8965183709507824, ""atr_pct"": 0.0013658004831488045, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,EMA,1,18462,18463,2024-09-13T19:42:00+00:00,2024-09-13T19:43:00+00:00,1,-0.002596923220735966,-0.05193846441471932,20.0,زمني,0,False,True,,False,11.373410999999999,11.37,0.0003,11.37,1,baseline,0,"{""close"": 11.37, ""rsi"": 51.30379875152555, ""rsi7"": 52.76150090488193, ""macd"": -0.002647517286525047, ""adx"": 20.601027269816083, ""stoch_k"": 46.666666666665286, ""stoch_d"": 33.3333333333325, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8199340528299143, ""hurst"": 0.2291493023261301, ""atr14"": 0.013626849693589665, ""vol_sma20"": 1151.9574999999993, ""vol_ratio"": 0.06818827951552035, ""atr_pct"": 0.001198491617729962, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,MACD,1,18467,18468,2024-09-13T19:47:00+00:00,2024-09-13T19:48:00+00:00,1,-0.002596923220735966,-0.05193846441471932,20.0,زمني,0,False,True,,False,11.373410999999999,11.37,0.0003,11.37,1,baseline,0,"{""close"": 11.38, ""rsi"": 56.85785254217639, ""rsi7"": 66.3233178433854, ""macd"": 0.00014163809006048525, ""adx"": 24.429087981074694, ""stoch_k"": 66.66666666666576, ""stoch_d"": 62.22222222222057, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7383293623026986, ""hurst"": 0.20769177647276518, ""atr14"": 0.01193194038064874, ""vol_sma20"": 890.0394999999992, ""vol_ratio"": 0.7124739969405859, ""atr_pct"": 0.0010485009121835448, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,MACD,1,18486,18487,2024-09-13T20:06:00+00:00,2024-09-13T20:07:00+00:00,1,-0.003472606343456831,-0.06945212686913663,20.0,زمني,0,False,True,,False,11.393417,11.39,0.0003,11.38,1,baseline,0,"{""close"": 11.38, ""rsi"": 60.03926350709561, ""rsi7"": 68.94869694224298, ""macd"": 0.0030052797762445335, ""adx"": 20.498931606704986, ""stoch_k"": 86.11111111111154, ""stoch_d"": 70.37037037037076, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0208022782476833, ""hurst"": 0.21930368079724294, ""atr14"": 0.015658912951914346, ""vol_sma20"": 1336.3804999999993, ""vol_ratio"": 1.334574995669273, ""atr_pct"": 0.0013760028955988, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,OBV,1,18489,18502,2024-09-13T20:09:00+00:00,2024-09-13T20:22:00+00:00,13,-0.0008455569752936814,-0.01691113950587363,20.0,تتبع,0,False,True,,False,11.393417,11.39,0.0003,11.41,1,baseline,0,"{""close"": 11.38, ""rsi"": 58.6496410718196, ""rsi7"": 64.67623001221098, ""macd"": 0.0038019938773509775, ""adx"": 20.123539717436255, ""stoch_k"": 76.66666666666669, ""stoch_d"": 79.25925925925925, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9422139850254039, ""hurst"": 0.21850837695251446, ""atr14"": 0.014432445974984087, ""vol_sma20"": 1420.5209999999993, ""vol_ratio"": 0.6683111337319199, ""atr_pct"": 0.0012682289960442958, ""retest_entry"": true}"
اتجاهي,dir,directional,LINKUSDT,صاعد,MicroBurst,1,18507,18508,2024-09-13T20:27:00+00:00,2024-09-13T20:28:00+00:00,1,-0.0028959647188707065,-0.05791929437741413,20.0,زمني,0,False,True,,False,11.426851999999998,11.42,0.0006,11.42,1,baseline,0,"{""close"": 11.42, ""rsi"": 62.505019361196815, ""rsi7"": 64.15126538439652, ""macd"": 0.0019761697836715997, ""adx"": 18.40986344201846, ""stoch_k"": 73.33333333333361, ""stoch_d"": 60.00000000000036, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.2365764793334724, ""hurst"": 0.28425883308347144, ""atr14"": 0.01834135149718387, ""vol_sma20"": 2178.3054999999995, ""vol_ratio"": 0.931425826175438, ""atr_pct"": 0.0016060728106115471, ""retest_entry"": true}"
