category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
اتجاهي,dir,directional,ATOMUSDT,صاعد,Stochastic,1,3951,3952,2025-01-03T17:51:00+00:00,2025-01-03T17:52:00+00:00,1,-0.0046335480712245206,-0.09267096142449041,20.0,زمني,0,False,True,symbol_collision,True,7.3482038,7.346,0.0003,7.331,1,baseline,0,"{""close"": 7.344, ""rsi"": 37.7607781767985, ""rsi7"": 34.17755335749874, ""macd"": -0.0048454476059191336, ""adx"": 29.766100422414418, ""stoch_k"": 12.857142857142227, ""stoch_d"": 10.765803397381783, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8571841187307961, ""hurst"": 0.21507116257714576, ""atr14"": 0.012008029114326451, ""vol_sma20"": 4414.324500000001, ""vol_ratio"": 0.3368442895396566, ""atr_pct"": 0.0016350802170923815, ""retest_entry"": true}"
اتجاهي,dir,directional,ATOMUSDT,صاعد,MicroBurst,1,3956,3957,2025-01-03T17:56:00+00:00,2025-01-03T17:57:00+00:00,1,-0.003684159167626989,-0.07368318335253977,20.0,زمني,0,False,True,symbol_collision,True,7.3412017,7.339,0.0003,7.331,1,baseline,0,"{""close"": 7.338, ""rsi"": 41.13722243960421, ""rsi7"": 44.864660554555584, ""macd"": -0.0025875909943890284, ""adx"": 35.36267039762287, ""stoch_k"": 19.835616438355782, ""stoch_d"": 11.088062622308945, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8689370926694033, ""hurst"": 0.27986921308648677, ""atr14"": 0.012082363661617261, ""vol_sma20"": 5658.679999999999, ""vol_ratio"": 4.1751521556264, ""atr_pct"": 0.001646547241975642, ""retest_entry"": true}"
اتجاهي,dir,directional,ATOMUSDT,صاعد,EMA,1,3963,3967,2025-01-03T18:03:00+00:00,2025-01-03T18:07:00+00:00,4,-0.005290809190809106,-0.10581618381618212,20.0,وقف,0,False,True,symbol_collision,True,7.3562062,7.354,0.0003,7.3341375814,1,baseline,0,"{""close"": 7.354, ""rsi"": 54.69053589481131, ""rsi7"": 70.09104798215839, ""macd"": 0.0022065438270438657, ""adx"": 33.46339604926199, ""stoch_k"": 65.66498316498236, ""stoch_d"": 48.94049035590225, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8656310012053937, ""hurst"": 0.34965390375992433, ""atr14"": 0.011811630866773766, ""vol_sma20"": 5560.5255, ""vol_ratio"": 0.589143957706875, ""atr_pct"": 0.0016061505122074743, ""retest_entry"": true}"
اتجاهي,dir,directional,ATOMUSDT,صاعد,FVG,1,3972,3975,2025-01-03T18:12:00+00:00,2025-01-03T18:15:00+00:00,3,-0.0006952967635779658,-0.013905935271559316,20.0,تتبع,0,False,True,symbol_collision,True,7.345202899999999,7.343,0.0003,7.357,1,baseline,0,"{""close"": 7.342, ""rsi"": 50.70806139913068, ""rsi7"": 57.40341062189706, ""macd"": 0.0010619293244263743, ""adx"": 29.862006661774465, ""stoch_k"": 56.17283950617216, ""stoch_d"": 41.4970526081635, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9095436624856266, ""hurst"": 0.4305692084517111, ""atr14"": 0.011810948009167826, ""vol_sma20"": 5434.561, ""vol_ratio"": 0.21523173628927894, ""atr_pct"": 0.0016086826490285789, ""retest_entry"": true}"
اتجاهي,dir,directional,ATOMUSDT,صاعد,FVG,1,3991,4013,2025-01-03T18:31:00+00:00,2025-01-03T18:53:00+00:00,22,-0.005290809190809106,-0.10581618381618212,20.0,وقف,0,False,True,symbol_collision,True,7.3672095,7.365,0.0003,7.345107871500001,1,baseline,0,"{""close"": 7.364, ""rsi"": 57.279637978928676, ""rsi7"": 62.566533095424624, ""macd"": -0.00014797531453287919, ""adx"": 18.14112362470264, ""stoch_k"": 47.22222222222319, ""stoch_d"": 25.595238095238972, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7243934281636215, ""hurst"": 0.4562035686954735, ""atr14"": 0.008599872842491484, ""vol_sma20"": 2514.8745000000004, ""vol_ratio"": 0.2888971199159242, ""atr_pct"": 0.0011678262958299138, ""retest_entry"": true}"
اتجاهي,dir,directional,ATOMUSDT,صاعد,FVG,1,4020,4021,2025-01-03T19:00:00+00:00,2025-01-03T19:01:00+00:00,1,-0.005290809190809106,-0.10581618381618212,20.0,وقف,0,False,True,symbol_collision,True,7.352205,7.35,0.0003,7.330148384999999,1,baseline,0,"{""close"": 7.353, ""rsi"": 48.08530553007591, ""rsi7"": 49.12906699719231, ""macd"": -0.00044782603757585597, ""adx"": 13.635503229640998, ""stoch_k"": 48.61111111111006, ""stoch_d"": 41.20370370370311, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.6991625938352748, ""hurst"": 0.4025678215296322, ""atr14"": 0.007196147192084819, ""vol_sma20"": 877.6215, ""vol_ratio"": 1.662516244189551, ""atr_pct"": 0.0009786681887780251, ""retest_entry"": true}"
اتجاهي,dir,directional,ATOMUSDT,صاعد,Stochastic,1,4025,4030,2025-01-03T19:05:00+00:00,2025-01-03T19:10:00+00:00,5,-0.0008872650281721008,-0.017745300563442014,20.0,تتبع,0,False,True,symbol_collision,True,7.3432023,7.341,0.0003,7.3535832786,1,baseline,0,"{""close"": 7.342, ""rsi"": 44.225957380493455, ""rsi7"": 46.07986698280835, ""macd"": -0.001730013911091047, ""adx"": 17.587719544484045, ""stoch_k"": 19.666325311486442, ""stoch_d"": 13.852619901007065, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7908293131839329, ""hurst"": 0.37271361413331344, ""atr14"": 0.007998336034447594, ""vol_sma20"": 1193.181, ""vol_ratio"": 0.6207524256588061, ""atr_pct"": 0.0010893947200282749, ""retest_entry"": true}"
اتجاهي,dir,directional,ATOMUSDT,صاعد,FVG,1,4047,4049,2025-01-03T19:27:00+00:00,2025-01-03T19:29:00+00:00,2,-0.002053008795771056,-0.04106017591542112,20.0,تتبع,0,False,True,symbol_collision,True,7.3372005,7.335,0.0003,7.339,1,baseline,0,"{""close"": 7.335, ""rsi"": 42.99941598155774, ""rsi7"": 44.009712201031306, ""macd"": -0.00145611311571682, ""adx"": 20.170081357136574, ""stoch_k"": 27.51322751322815, ""stoch_d"": 16.52116402116462, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7657599503369101, ""hurst"": 0.2555233229499302, ""atr14"": 0.007129185980585113, ""vol_sma20"": 1345.163, ""vol_ratio"": 0.2685994188064941, ""atr_pct"": 0.0009719408289822921, ""retest_entry"": true}"
اتجاهي,dir,directional,ATOMUSDT,صاعد,FVG,1,4051,4052,2025-01-03T19:31:00+00:00,2025-01-03T19:32:00+00:00,1,-0.002461185186334854,-0.049223703726697085,20.0,زمني,0,False,True,symbol_collision,True,7.3502044,7.348,0.0003,7.349,1,baseline,0,"{""close"": 7.348, ""rsi"": 54.29655424685176, ""rsi7"": 62.05943264998445, ""macd"": 0.0013307510888871778, ""adx"": 16.99596642203552, ""stoch_k"": 72.38095238095259, ""stoch_d"": 62.22222222222252, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7748588814870173, ""hurst"": 0.25041686417750897, ""atr14"": 0.00704726366075306, ""vol_sma20"": 1254.5505, ""vol_ratio"": 0.3391653026322974, ""atr_pct"": 0.0009590723544846299, ""retest_entry"": true}"
اتجاهي,dir,directional,ATOMUSDT,صاعد,OBV,1,4054,4057,2025-01-03T19:34:00+00:00,2025-01-03T19:37:00+00:00,3,-0.0054435479302173745,-0.10887095860434749,20.0,وقف,0,False,True,symbol_collision,True,7.360207399999999,7.358,0.0003,7.337,1,baseline,0,"{""close"": 7.356, ""rsi"": 59.9663793875295, ""rsi7"": 70.00173811787727, ""macd"": 0.002163392484478655, ""adx"": 15.444752703635427, ""stoch_k"": 85.35714285714327, ""stoch_d"": 80.07936507936546, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7928298914221412, ""hurst"": 0.23749522369097378, ""atr14"": 0.007094693244414855, ""vol_sma20"": 1150.704, ""vol_ratio"": 1.4134564579596491, ""atr_pct"": 0.0009644770587839661, ""retest_entry"": true}"
