category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
اتجاهي,dir,directional,FILUSDT,صاعد,FVG,1,4443,4444,2025-01-04T02:03:00+00:00,2025-01-04T02:04:00+00:00,1,0.0005024356044336587,0.010048712088673174,20.0,تتبع,0,True,True,symbol_collision,True,5.6296884,5.628,0.0003,5.6471849688,1,baseline,0,"{""close"": 5.627, ""rsi"": 75.09912017953886, ""rsi7"": 85.66474249038073, ""macd"": 0.0011328072622391328, ""adx"": 43.95161080603993, ""stoch_k"": 76.98412698412615, ""stoch_d"": 83.17821067821073, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9293256816921843, ""hurst"": 0.5144216862562302, ""atr14"": 0.005384400339985175, ""vol_sma20"": 25282.462, ""vol_ratio"": 0.635460264906163, ""atr_pct"": 0.000956886500797081, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,صاعد,FVG,1,4457,4462,2025-01-04T02:17:00+00:00,2025-01-04T02:22:00+00:00,5,-0.0013761153445219095,-0.027522306890438192,20.0,تتبع,0,False,True,symbol_collision,True,5.6333779999999996,5.63,0.0006,5.638581604,1,baseline,0,"{""close"": 5.63, ""rsi"": 57.233872759128396, ""rsi7"": 57.67406364527896, ""macd"": -0.0016345425070035608, ""adx"": 34.923909175901464, ""stoch_k"": 23.809523809524325, ""stoch_d"": 17.02155116789309, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.2460040347009622, ""hurst"": 0.48849972961795013, ""atr14"": 0.007653197885730518, ""vol_sma20"": 20605.7805, ""vol_ratio"": 0.3649087691679526, ""atr_pct"": 0.001359360192847339, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,صاعد,MicroBurst,1,4473,4475,2025-01-04T02:33:00+00:00,2025-01-04T02:35:00+00:00,2,-0.0017363388358416587,-0.03472677671683318,20.0,تتبع,0,False,True,symbol_collision,True,5.6406917,5.639,0.0003,5.6438654706,1,baseline,0,"{""close"": 5.638, ""rsi"": 56.62809088812688, ""rsi7"": 58.45522870896792, ""macd"": -0.0015903536140065137, ""adx"": 22.197997626411205, ""stoch_k"": 38.368910782702145, ""stoch_d"": 28.028137606679824, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.123597044612081, ""hurst"": 0.4290540579546905, ""atr14"": 0.007171464709342445, ""vol_sma20"": 4381.08, ""vol_ratio"": 1.5246674336008472, ""atr_pct"": 0.0012719873553285641, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,صاعد,MicroBurst,1,4478,4479,2025-01-04T02:38:00+00:00,2025-01-04T02:39:00+00:00,1,-0.0029497364774670443,-0.05899472954934089,20.0,زمني,0,False,True,symbol_collision,True,5.6556961999999995,5.654,0.0003,5.652,1,baseline,0,"{""close"": 5.653, ""rsi"": 68.0372550443004, ""rsi7"": 77.8927725355899, ""macd"": 0.0012122158287639047, ""adx"": 22.214281576832626, ""stoch_k"": 91.06211474632461, ""stoch_d"": 89.7005928122364, ""mss"": 0.0, ""sfp"": -1.0, ""vr"": 1.1303578775719763, ""hurst"": 0.37185727483185166, ""atr14"": 0.00729194429093135, ""vol_sma20"": 5150.614, ""vol_ratio"": 2.96749669068581, ""atr_pct"": 0.001289924693248072, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,FVG,-1,9948,9949,2025-01-07T21:48:00+00:00,2025-01-07T21:49:00+00:00,1,-0.0027826739671156465,-0.055653479342312934,20.0,زمني,0,False,True,,False,5.3763866,5.378,0.0003,5.379,1,baseline,0,"{""close"": 5.378, ""rsi"": 35.33896209718692, ""rsi7"": 34.43333753303564, ""macd"": -0.0014749598492921137, ""adx"": 33.15987894859872, ""stoch_k"": 25.369185816946942, ""stoch_d"": 29.488799389296826, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9222242594182932, ""hurst"": 0.45152387331285554, ""atr14"": 0.010122425248440875, ""vol_sma20"": 6531.5355, ""vol_ratio"": 0.9596763272587281, ""atr_pct"": 0.0018821913812645732, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,FVG,-1,9957,9961,2025-01-07T21:57:00+00:00,2025-01-07T22:01:00+00:00,4,0.0014244810964908813,0.028489621929817625,20.0,تتبع,0,True,True,,False,5.3653899,5.367,0.0003,5.3453729418,1,baseline,0,"{""close"": 5.368, ""rsi"": 35.08806779689452, ""rsi7"": 31.389508237558346, ""macd"": 0.00031524377412740084, ""adx"": 32.54082196110312, ""stoch_k"": 27.741935483870936, ""stoch_d"": 45.913978494623485, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9636511343220225, ""hurst"": 0.457334079676819, ""atr14"": 0.010446899813299004, ""vol_sma20"": 8189.405499999999, ""vol_ratio"": 2.3769881708751632, ""atr_pct"": 0.0019461437804208276, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,MicroBurst,-1,9973,9974,2025-01-07T22:13:00+00:00,2025-01-07T22:14:00+00:00,1,-0.005290809190808995,-0.1058161838161799,20.0,وقف,0,False,True,,False,5.3813851,5.383,0.0003,5.397529255299999,1,baseline,0,"{""close"": 5.383, ""rsi"": 51.63873009339466, ""rsi7"": 53.3166193010743, ""macd"": 0.004501524503090304, ""adx"": 23.05705844252663, ""stoch_k"": 90.47619047619054, ""stoch_d"": 93.11031461569111, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0089579880140718, ""hurst"": 0.43520085143872017, ""atr14"": 0.01120535992743559, ""vol_sma20"": 9702.319500000001, ""vol_ratio"": 1.9056618368422105, ""atr_pct"": 0.0020816199010655007, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,Bollinger,-1,9978,9985,2025-01-07T22:18:00+00:00,2025-01-07T22:25:00+00:00,7,-0.0014008773261474587,-0.028017546522949174,20.0,قفل-ربح,0,False,True,,False,5.3953809,5.397,0.0003,5.390531044152907,1,baseline,0,"{""close"": 5.397, ""rsi"": 56.432000462944735, ""rsi7"": 59.57381128365273, ""macd"": 0.0032190642063711934, ""adx"": 18.601813539269106, ""stoch_k"": 88.18306010928957, ""stoch_d"": 90.26693555382057, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9672088797059731, ""hurst"": 0.4447779373200744, ""atr14"": 0.01078069164547774, ""vol_sma20"": 9412.769, ""vol_ratio"": 0.2259154559088829, ""atr_pct"": 0.001997534119969935, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,Bollinger,-1,9989,9991,2025-01-07T22:29:00+00:00,2025-01-07T22:31:00+00:00,2,-0.002226029485651849,-0.04452058971303698,20.0,تتبع,0,False,True,,False,5.3773862999999995,5.379,0.0003,5.377,1,baseline,0,"{""close"": 5.379, ""rsi"": 45.663348124027934, ""rsi7"": 38.852472905795345, ""macd"": -0.001562264920304057, ""adx"": 10.963059738777826, ""stoch_k"": 5.600539811065733, ""stoch_d"": 14.147548358074426, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.7597779804487651, ""hurst"": 0.4476732255850111, ""atr14"": 0.00819397901986764, ""vol_sma20"": 7436.853, ""vol_ratio"": 0.7856575893055839, ""atr_pct"": 0.0015233275738738873, ""retest_entry"": true}"
اتجاهي,dir,directional,FILUSDT,هابط,RSI7,-1,10004,10012,2025-01-07T22:44:00+00:00,2025-01-07T22:52:00+00:00,8,-0.005290809190808995,-0.1058161838161799,20.0,وقف,0,False,True,,False,5.4053779,5.407,0.0003,5.4215940337,1,baseline,0,"{""close"": 5.407, ""rsi"": 62.90768516827442, ""rsi7"": 70.91736562285917, ""macd"": 0.0022152942000372667, ""adx"": 21.25013519761346, ""stoch_k"": 91.72764227642297, ""stoch_d"": 93.63143631436323, ""mss"": 0.0, ""sfp"": -1.0, ""vr"": 0.6484243790057423, ""hurst"": 0.4595977001128645, ""atr14"": 0.006256761743715741, ""vol_sma20"": 4323.3865, ""vol_ratio"": 0.9657475684859543, ""atr_pct"": 0.0011571595605170597, ""retest_entry"": true}"
