category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
اتجاهي,dir,directional,TONUSDT,هابط,FVG,-1,25112,25114,2025-01-18T10:32:00+00:00,2025-01-18T10:34:00+00:00,2,-0.0019450874970216494,-0.03890174994043299,20.0,قفل-ربح,0,False,True,,False,5.3054079000000005,5.307,0.0003,5.301938089819174,1,baseline,0,"{""close"": 5.306, ""rsi"": 39.62626606209836, ""rsi7"": 35.58918609014853, ""macd"": -0.00036887642610308573, ""adx"": 18.934128675148184, ""stoch_k"": 32.539682539683184, ""stoch_d"": 39.36507936507926, ""mss"": 0.0, ""sfp"": 1.0, ""vr"": 1.1943019626777798, ""hurst"": 0.3283028560991378, ""atr14"": 0.007711549827598828, ""vol_sma20"": 6636.448499999999, ""vol_ratio"": 2.3215218199915215, ""atr_pct"": 0.001453364083603247, ""retest_entry"": true}"
اتجاهي,dir,directional,TONUSDT,هابط,Bollinger,-1,25118,25119,2025-01-18T10:38:00+00:00,2025-01-18T10:39:00+00:00,1,-0.0030077234744509363,-0.06015446948901873,20.0,زمني,0,False,True,,False,5.291823,5.295,0.0006,5.294,1,baseline,0,"{""close"": 5.295, ""rsi"": 37.34234468652857, ""rsi7"": 33.106530412001135, ""macd"": -0.00130681657498253, ""adx"": 25.621132831954494, ""stoch_k"": 17.198808003405883, ""stoch_d"": 28.366680857101716, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.3547935981176396, ""hurst"": 0.33072960284153546, ""atr14"": 0.008867712181972817, ""vol_sma20"": 7282.4924999999985, ""vol_ratio"": 0.7795737517065758, ""atr_pct"": 0.001674733178842836, ""retest_entry"": true}"
اتجاهي,dir,directional,TONUSDT,هابط,FVG,-1,25122,25122,2025-01-18T10:42:00+00:00,2025-01-18T10:42:00+00:00,0,-0.005290809190808995,-0.1058161838161799,20.0,وقف,0,False,True,,False,5.288413,5.29,0.0003,5.304278238999999,1,baseline,0,"{""close"": 5.289, ""rsi"": 35.1213275809729, ""rsi7"": 30.294492285127475, ""macd"": -0.0017002616369309201, ""adx"": 31.907659577592508, ""stoch_k"": 5.960061443931731, ""stoch_d"": 5.954058301110268, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.1927152938380754, ""hurst"": 0.3522124687909128, ""atr14"": 0.007889387953699672, ""vol_sma20"": 7924.5554999999995, ""vol_ratio"": 0.8216082277422375, ""atr_pct"": 0.0014916596622612352, ""retest_entry"": true}"
اتجاهي,dir,directional,TONUSDT,هابط,FVG,-1,25127,25128,2025-01-18T10:47:00+00:00,2025-01-18T10:48:00+00:00,1,-0.0055896103896101905,-0.11179220779220381,20.0,وقف,0,False,True,,False,5.2788308,5.282,0.0006,5.294667292399999,1,baseline,0,"{""close"": 5.282, ""rsi"": 35.48692499851171, ""rsi7"": 30.60447178972997, ""macd"": -0.0006798657165145603, ""adx"": 28.543379613293343, ""stoch_k"": 24.385964912280215, ""stoch_d"": 36.690746474027435, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.2891448604948017, ""hurst"": 0.3122023550956703, ""atr14"": 0.008683836201978734, ""vol_sma20"": 9055.82, ""vol_ratio"": 1.8650337572964126, ""atr_pct"": 0.0016440432037066895, ""retest_entry"": true}"
اتجاهي,dir,directional,TONUSDT,هابط,Stochastic,-1,25135,25141,2025-01-18T10:55:00+00:00,2025-01-18T11:01:00+00:00,6,-0.0015972985508632207,-0.031945971017264416,20.0,قفل-ربح,0,False,True,,False,5.3214031,5.323,0.0003,5.317667385771153,1,baseline,0,"{""close"": 5.322, ""rsi"": 61.27289698815252, ""rsi7"": 74.13383708324112, ""macd"": 0.004035893806609365, ""adx"": 22.163596597403835, ""stoch_k"": 98.29059829059925, ""stoch_d"": 98.5754985754993, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.193824547541761, ""hurst"": 0.26879954148063806, ""atr14"": 0.008302518361462893, ""vol_sma20"": 6970.866499999999, ""vol_ratio"": 0.3809598132455987, ""atr_pct"": 0.001560037271977244, ""retest_entry"": true}"
اتجاهي,dir,directional,TONUSDT,هابط,FVG,-1,25145,25146,2025-01-18T11:05:00+00:00,2025-01-18T11:06:00+00:00,1,-0.0022212784056548935,-0.04442556811309787,20.0,قفل-ربح,0,False,True,,False,5.3094067,5.311,0.0003,5.309,1,baseline,0,"{""close"": 5.311, ""rsi"": 49.89783645569101, ""rsi7"": 44.934653463618346, ""macd"": 8.205127605835465e-06, ""adx"": 15.872031214605197, ""stoch_k"": 52.45701521998839, ""stoch_d"": 66.37772682185953, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 1.0351812072783302, ""hurst"": 0.3223632506790612, ""atr14"": 0.007351644975775236, ""vol_sma20"": 5476.905, ""vol_ratio"": 0.3061674431088361, ""atr_pct"": 0.001384229895645874, ""retest_entry"": true}"
اتجاهي,dir,directional,TONUSDT,هابط,SFP,-1,25168,25169,2025-01-18T11:28:00+00:00,2025-01-18T11:29:00+00:00,1,-0.0020354811424430908,-0.040709622848861815,20.0,تتبع,0,False,True,,False,5.329400700000001,5.331,0.0003,5.328,1,baseline,0,"{""close"": 5.33, ""rsi"": 61.513660783051435, ""rsi7"": 63.67122381600659, ""macd"": 0.0020487367874269954, ""adx"": 23.47577128646345, ""stoch_k"": 89.92063492063464, ""stoch_d"": 95.76029445594621, ""mss"": 0.0, ""sfp"": -1.0, ""vr"": 0.8700409288123488, ""hurst"": 0.36565662610675725, ""atr14"": 0.006242291815786483, ""vol_sma20"": 2757.1824999999994, ""vol_ratio"": 2.2861199793629914, ""atr_pct"": 0.0011711616915171638, ""retest_entry"": true}"
اتجاهي,dir,directional,TONUSDT,هابط,FVG,-1,25190,25195,2025-01-18T11:50:00+00:00,2025-01-18T11:55:00+00:00,5,-0.0006450705850053457,-0.012901411700106913,20.0,تتبع,0,False,True,,False,5.3683890000000005,5.37,0.0003,5.359496598000001,1,baseline,0,"{""close"": 5.37, ""rsi"": 71.79983226590227, ""rsi7"": 70.20468862694561, ""macd"": 0.0020955439136249986, ""adx"": 40.52021056178173, ""stoch_k"": 84.62887200467647, ""stoch_d"": 88.31361155580468, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9736885736006953, ""hurst"": 0.4100456212877856, ""atr14"": 0.0070999916363176565, ""vol_sma20"": 7402.942999999999, ""vol_ratio"": 0.19367567736236793, ""atr_pct"": 0.0013221585914930459, ""retest_entry"": true}"
اتجاهي,dir,directional,TONUSDT,هابط,Bollinger,-1,25209,25210,2025-01-18T12:09:00+00:00,2025-01-18T12:10:00+00:00,1,-0.004274416585672633,-0.08548833171345266,20.0,زمني,0,False,True,,False,5.353393500000001,5.355,0.0003,5.364,1,baseline,0,"{""close"": 5.356, ""rsi"": 47.71192192295996, ""rsi7"": 38.21499265243118, ""macd"": -0.001751832436245773, ""adx"": 20.744947466239314, ""stoch_k"": 40.74074074074132, ""stoch_d"": 54.93827160493803, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.8797730540711958, ""hurst"": 0.3136591448295261, ""atr14"": 0.006392941220224483, ""vol_sma20"": 2945.6199999999994, ""vol_ratio"": 0.4384000651815238, ""atr_pct"": 0.0011936036632233912, ""retest_entry"": true}"
اتجاهي,dir,directional,TONUSDT,هابط,FVG,-1,25213,25214,2025-01-18T12:13:00+00:00,2025-01-18T12:14:00+00:00,1,-0.0025971028071656095,-0.05194205614331219,20.0,زمني,0,False,True,,False,5.3493947,5.351,0.0003,5.351,1,baseline,0,"{""close"": 5.352, ""rsi"": 44.551460328435276, ""rsi7"": 36.46847906977578, ""macd"": -0.001996467990682284, ""adx"": 19.90990079117704, ""stoch_k"": 24.414488017429978, ""stoch_d"": 30.437545388525475, ""mss"": 0.0, ""sfp"": 0.0, ""vr"": 0.9078922901613665, ""hurst"": 0.2943221378850622, ""atr14"": 0.006557444663443164, ""vol_sma20"": 2563.268499999999, ""vol_ratio"": 0.4956211181154064, ""atr_pct"": 0.0012252325604340739, ""retest_entry"": true}"
