category,kind,strategy,symbol,regime,trigger,side,entry_bar,exit_bar,entry_time,exit_time,bars_held,net_frac,pnl_usd,notional_usd,reason,cycles,success,risk_accepted,risk_reason,risk_would_block,entry_px,entry_ref_px,entry_cost_pct,exit_px,mult,experiment,series,snapshot
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,1539,2338,2021-09-02T01:39:00+00:00,2021-09-02T14:58:00+00:00,799,-0.01794095008173385,-17.94095008173385,1000.0,كسر-سفلي,0,False,True,,False,78.89366100000001,78.87,0.0003,77.68,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,3790,7922,2021-09-03T15:10:00+00:00,2021-09-06T12:02:00+00:00,4132,0.4099929933497902,409.9929933497902,1000.0,كسر-سفلي,0,True,True,,False,78.59712999999999,78.55,0.0006,111.11,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,11063,12260,2021-09-08T16:23:00+00:00,2021-09-09T12:20:00+00:00,1197,-0.021605537535765617,-21.605537535765617,1000.0,كسر-سفلي,0,False,True,,False,89.933928,89.88,0.0006,88.22,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,16554,17124,2021-09-12T11:54:00+00:00,2021-09-12T21:24:00+00:00,570,-0.04357887824634411,-43.57887824634411,1000.0,كسر-سفلي,0,False,True,,False,84.98641899999998,84.91,0.0009,81.47,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,19635,23643,2021-09-14T15:15:00+00:00,2021-09-17T10:03:00+00:00,4008,0.024035513899185675,24.035513899185677,1000.0,كسر-سفلي,0,True,True,,False,80.734213,80.71,0.0003,82.89,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,24034,25197,2021-09-17T16:34:00+00:00,2021-09-18T11:57:00+00:00,1163,-0.011220923529920634,-11.220923529920634,1000.0,كسر-سفلي,0,False,True,,False,85.196608,85.12,0.0009,84.46,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,26901,27514,2021-09-19T16:21:00+00:00,2021-09-20T02:34:00+00:00,613,-0.040275660751194896,-40.2756607511949,1000.0,كسر-سفلي,0,False,True,,False,84.87631999999999,84.8,0.0009,81.67,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,31253,32228,2021-09-22T16:53:00+00:00,2021-09-23T09:08:00+00:00,975,-0.01345299391198373,-13.45299391198373,1000.0,كسر-سفلي,0,False,True,,False,73.882158,73.86,0.0003,73.1,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,38000,38864,2021-09-27T09:20:00+00:00,2021-09-27T23:44:00+00:00,864,-0.013947169779852572,-13.947169779852572,1000.0,كسر-سفلي,0,False,True,,False,59.903864999999996,59.85,0.0009,59.24,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,40938,41183,2021-09-29T12:18:00+00:00,2021-09-29T16:23:00+00:00,245,-0.033592381755198034,-33.59238175519803,1000.0,كسر-سفلي,0,False,True,,False,58.487541,58.47,0.0003,56.67,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,41712,45192,2021-09-30T01:12:00+00:00,2021-10-02T11:12:00+00:00,3480,0.1652385091379698,165.2385091379698,1000.0,كسر-سفلي,0,True,True,,False,58.582677,58.53,0.0009,68.42,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,45524,46008,2021-10-02T16:44:00+00:00,2021-10-03T00:48:00+00:00,484,-0.06956723282283005,-69.56723282283005,1000.0,كسر-سفلي,0,False,True,,False,73.65623099999999,73.59,0.0009,68.69,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,49028,49714,2021-10-05T03:08:00+00:00,2021-10-05T14:34:00+00:00,686,-0.017966734637338826,-17.966734637338824,1000.0,كسر-سفلي,0,False,True,,False,70.881258,70.86,0.0003,69.81,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,51248,51802,2021-10-06T16:08:00+00:00,2021-10-07T01:22:00+00:00,554,-0.0466768633085613,-46.6768633085613,1000.0,كسر-سفلي,0,False,True,,False,72.96561,72.9,0.0009,69.72,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,53840,55170,2021-10-08T11:20:00+00:00,2021-10-09T09:30:00+00:00,1330,0.051163892615648215,51.163892615648216,1000.0,كسر-سفلي,0,True,True,,False,73.083824,73.04,0.0006,77.0,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,62068,63264,2021-10-14T04:28:00+00:00,2021-10-15T00:24:00+00:00,1196,-0.016015856405294373,-16.01585640529437,1000.0,كسر-سفلي,0,False,True,,False,70.000994,69.98,0.0003,69.08,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,65427,65707,2021-10-16T12:27:00+00:00,2021-10-16T17:07:00+00:00,280,-0.03387683589259374,-33.876835892593746,1000.0,كسر-سفلي,0,False,True,,False,69.26227999999999,69.2,0.0009,67.07,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,70990,72004,2021-10-20T09:10:00+00:00,2021-10-21T02:04:00+00:00,1014,0.02886112934722903,28.861129347229028,1000.0,كسر-سفلي,0,True,True,,False,63.81738399999999,63.76,0.0009,65.85,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,78254,79925,2021-10-25T10:14:00+00:00,2021-10-26T14:05:00+00:00,1671,-0.014891762911659428,-14.891762911659427,1000.0,كسر-سفلي,0,False,True,,False,64.68816699999999,64.63,0.0009,63.91,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,82456,85040,2021-10-28T08:16:00+00:00,2021-10-30T03:20:00+00:00,2584,0.004308924563074162,4.308924563074163,1000.0,كسر-سفلي,0,True,True,,False,58.502604999999996,58.45,0.0009,58.89,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
دوناتشيان,donchian,donchian,FILUSDT,عرضي,Donchian-96/48,1,86278,87863,2021-10-30T23:58:00+00:00,2021-11-01T02:23:00+00:00,1585,0.02778491663858905,27.78491663858905,1000.0,كسر-سفلي,0,True,True,,False,60.62451299999999,60.57,0.0009,62.49,1,baseline,0,"""{\""system\"": \""Donchian-96/48\"", \""channel_tf\"": \""15m\"", \""capital\"": 1000.0}"""
